,context_precision,context_recall,context_relevancy,avg_latency,avg_token_usage
Naive,0.1757519439110694,0.3653597983047642,0.27055587110791685,0.2515120983123779,1683.4
BM25,0.2414186243440626,0.3307438558074153,0.286081240075739,0.000623925526936849,590.6
Contextual Compression,0.25177254328280724,0.38951160611733804,0.3206420747000727,0.6389472007751464,496.06666666666666
Multi-Query,0.15755239530114756,0.3687399819933292,0.2631461886472384,1.7088012218475341,2112.133333333333
Parent Document,0.2577929526641132,0.3895521122173332,0.3236725324407232,0.3344142278035482,365.93333333333334
Ensemble,0.15321778118363147,0.3708264876497094,0.26202213441667044,2.64475843111674,2594.6666666666665
Semantic,0.16803918679350716,0.40686375460053875,0.2874514706970229,1.1041567007700601,1120.7333333333333
